keys,en,ru
GLOW,Glow,Свечение
REFLECTION_PROBE,Reflection probe,Базовые отражения
REFLECTION_PROBE_WARNING,It is NOT recommended to disable reflection probe\nbecause character will appear fully dark.\nUse this at last resort for performance.,"Не рекомендуется отключать базовые отражения,\nтак как персонажи будут полностью темными.\nИспользуйте только как последнее средство для производительности."
MUSIC_VOLUME,Music volume,Громкость музыки
GRAPHICS,Graphics,Графика
SOUNDS,Sounds,Звуки
KEYBINDING,Keybinding,Настройка клавиш
CAMERA_ROTATE_LEFT,Camera left rotate,Поворот камеры влево
CAMERA_ROTATE_RIGHT,Camera right rotate,Поворот камеры вправо
CAMERA_LOOK,Camera look,Свободный поворот камеры
CLICK,Click,Взаимодействие
TOGGLE_VIEW_MODE,Toggle third person/up view,Переключить вид сверху/от 3-го лица
